virginia,87.9,9.69
maryland,100.1,8.07
creighton,100.8,8.05
kansas-state,101.5,8.95
kentucky,100.4,11.16
davidson,102.5,2.37
arizona,102.1,7.21
buffalo,101.3,-0.56
miami-fl,99.3,7.14
loyola-il,94.1,-0.28
tennessee,97.9,10.80
wright-state,93.2,-4.42
nevada,101.6,4.34
texas,98.6,10.92
cincinnati,86.0,3.54
georgia-state,97.5,-3.23
villanova,99.9,9.51
long-island-university,104.6,-7.95
virginia-tech,101.5,6.91
alabama,99.5,10.56
west-virginia,97.8,9.55
murray-state,96.2,-4.16
wichita-state,101.3,5.87
marshall,102.0,-0.91
florida,100.6,10.19
ucla,104.3,7.26
texas-tech,94.0,9.02
stephen-f-austin,92.2,-7.01
arkansas,104.7,10.12
butler,101.9,10.11
purdue,95.9,8.64
cal-state-fullerton,99.4,-1.53
xavier,102.2,9.84
texas-southern,109.1,-5.84
missouri,100.5,9.35
florida-state,101.1,7.68
ohio-state,97.7,8.97
south-dakota-state,101.5,-0.59
gonzaga,95.2,2.05
north-carolina-greensboro,91.4,-4.32
houston,94.9,3.87
san-diego-state,96.6,3.84
michigan,96.0,8.78
montana,96.6,-2.69
texas-am,98.8,10.52
providence,102.5,10.19
north-carolina,102.0,12.44
lipscomb,99.2,-4.41
kansas,101.1,11.45
pennsylvania,95.2,-3.84
seton-hall,102.3,9.81
north-carolina-state,103.0,6.74
clemson,97.2,9.04
new-mexico-state,90.7,-1.39
auburn,99.7,7.47
charleston-southern,100.3,-6.22
texas-christian,105.9,9.97
syracuse,98.4,9.25
michigan-state,94.5,7.28
bucknell,99.0,-4.02
rhode-island,97.8,3.90
oklahoma,105.6,10.89
duke,97.6,9.91
iona,104.4,-2.74
